,Country,"Under-five mortality rate 2019,both","Under-five mortality rate 2019, male","Under-five mortality rate 2019, Female",Infant mortality rate 2019,Neonatal mortality rate 2019,"Mortality rate among children aged 5–14 years, 2019",Annual rate of reduction in under-five mortality rate	,Annual rate of reduction in stillbirth rate,Under five deaths 2019,Deaths among children aged 5–14 years 2019,Vaccine BCG,Vaccine DTP1,Vaccine DTP3,Vaccine Polio3,Vaccine MCV1,Vaccine MCV2 (F),Vaccine HepB3,Vaccine Hib3,Vaccine Rota,Vaccine PCV3,Child dependency ratio,Maternity leave benefits,Paternity leave benefits,Exclusive Breastfeeding (< 6months) %,country_code
0,Montenegro,2,2,2,2,1,1,9.5,2.0,17,7,67,94,84,84,24,76,52,84,-,-,27,Yes,No,20,MNE
1,Cyprus,2,2,2,2,1,1,5.5,2.9,29,12,-,-,-,-,-,-,-,-,-,-,24,Yes,Yes,,CYP
2,Slovenia,2,2,2,2,1,1,5.1,1.8,42,15,-,98,95,95,94,91,-,95,-,70,24,Yes,Yes,,SVN
3,San Marino,2,2,2,1,1,1,6.7,3.2,0,0,-,92,89,89,90,79,89,88,-,82,20,Yes,No,,SMR
4,Iceland,2,2,2,2,1,0,3.8,1.8,8,2,-,-,-,-,-,-,-,-,-,-,30,Yes,Yes,,ISL
5,Estonia,2,3,2,2,1,1,8.0,4.0,33,16,91,92,91,91,91,87,90,91,82,-,26,Yes,Yes,,EST
6,Italy,3,3,3,3,2,1,3.0,0.9,"1,432",480,-,94,94,94,92,86,94,94,63,91,20,Yes,Yes,,ITA
7,Monaco,3,3,3,3,2,1,2.7,2.3,2,0,-,-,-,-,-,-,-,-,-,-,25,-,-,,MCO
8,Andorra,3,3,3,3,1,1,5.0,2.8,2,0,-,99,99,99,98,93,98,98,-,96,19,-,-,,AND
9,Republic of Korea,3,3,3,3,2,1,4.5,3.1,"1,200",355,-,-,-,-,-,-,-,-,-,-,18,Yes,Yes,,PRK
10,Japan,2,3,2,2,1,1,3.2,2.7,"2,343",828,95,98,96,96,98,95,92,95,-,95,21,Yes,Yes,,JPN
